"","State","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","TotalPop"
"1520","Louisiana",7712,6919,1.9,65.2,31.2,0.5,0,0,11454,29472,4343,18417,1292,27.3,41,27.5,18.7,20.9,16.6,16.3,85.1,10.4,1.2,1.2,1.3,0.9,27.3,5035,72.5,23,4.5,0,6,14631
"1521","Virginia",8482,7635,37.8,36,12.8,0.1,10.5,0,8752,79131,7001,29641,1767,10.3,16.5,36.7,15.4,24.4,14.3,9.2,70.9,16.6,6.1,0.1,1.3,5,37.3,8326,80.4,14.9,4.8,0,6,16117
"1522","Texas",150,139,26.6,73.4,0,0,0,0,184,56964,20503,29918,7391,3.5,6.8,38.2,8.1,15,36.4,2.3,89.6,1.7,0,3.5,1.2,4,12.4,173,72.8,20.2,6.9,0,6,289
"1523","Tennessee",13830,14525,1.7,92.1,1.9,0.3,0.4,0,22136,45366,3152,23807,1227,18.1,25.7,28,13.2,24.9,14,20,84.9,7.7,0.1,2.6,0.4,4.3,28.1,11940,78.7,14.2,7,0,6,28355
"1524","Montana",57590,56641,3.1,89.8,0.4,2.5,1.4,0,90740,49412,1947,29681,1069,15.9,15.2,39.3,20.2,23.3,9.4,7.8,72.5,8.6,2.1,5.3,5.6,5.9,18.1,61644,76.4,16.5,7,0,6,114231
"1525","Nebraska",1840,1848,8.8,88.2,0.1,0.1,0.8,0,2820,43017,4597,24011,2050,11.4,9.5,28,14.1,28,9.4,20.4,76.7,12.5,0.4,5.4,1.1,4,14.3,1738,72.6,19.4,7.9,0,6,3688
"1526","Texas",24563,26198,26.1,69.9,1.4,0.2,1,0,38666,48698,2928,28484,1842,13.8,23.3,30.3,24.1,23.2,12.7,9.8,78.8,14,0,1.9,0.7,4.5,20,21475,72.3,15.2,12.5,0,6,50761
"1527","Kansas",1555,1566,3,95.7,0.7,0.1,0,0,2379,48693,6396,25667,2018,8.4,7.7,38.6,16.1,16.1,17.7,11.5,77.8,9.7,0.8,5.8,0.8,5.1,18.8,1494,61.8,25.3,12.9,0,6,3121
"1528","Illinois",341719,346008,16.8,64.7,11,0.1,5.2,0,472786,80782,1137,33731,389,7.4,10.6,36.6,16,24.9,8.6,14,84.4,5.8,3.8,0.7,1.1,4.2,32.9,342710,85.7,11.2,3,0.1,6,687727
"1529","West Virginia",41458,44558,1.1,95.3,1.2,0.1,0.5,0,67560,45537,1425,26717,899,16.9,26.5,34,18.3,26,9.3,12.5,82.9,10.5,0.7,2.1,1.1,2.6,20.3,36841,80.1,15.7,4.1,0.1,6,86016
"1530","New Jersey",248308,262255,40.5,42,10.6,0.2,5.2,0,327162,63339,1461,29393,404,17,26.3,32.3,17.2,24.2,7.8,18.4,70.7,11.5,9.1,3.5,1.9,3.2,27.6,238552,84.5,11.2,4.2,0.1,6,510563
"1531","Washington",95438,95091,20.8,71.6,1.4,0.6,2.5,0.1,128595,63001,1568,30511,603,13.4,19.8,39.4,16.3,21.2,11.3,11.8,81.2,10.7,1,1.7,1.1,4.2,21.8,85352,78.4,17.3,4.3,0.1,6,190529
"1532","Texas",41505,42404,7.1,81.4,8.3,0.3,1.1,0,61569,53667,2201,27938,1206,14.2,18.7,29.4,15.7,23.3,14,17.5,86.6,8.4,0.2,1.7,1.4,1.7,23.9,36743,81.9,13.2,4.7,0.1,6,83909
"1533","South Carolina",137467,144403,5.8,75.6,14.4,0.3,1.7,0.1,207250,57482,1049,29311,440,12.8,18.7,37,15,25.8,10.3,12,83.9,8.9,0.2,0.7,2.4,3.9,25.5,136891,76.9,17.9,5.1,0.1,6,281870
"1534","Massachusetts",247788,261326,3.7,81.9,8.8,0.1,1.2,0,379673,82081,1195,39247,527,8,11,38.8,19.2,24.6,8.2,9.2,80.4,7,5.7,1.4,1,4.5,33,261653,81.5,13,5.5,0.1,6,509114
"1535","Alabama",25225,25848,6.7,71,17.1,1,1.3,0,38026,49821,1945,26216,950,16.1,26.3,31.6,17.3,21.4,13.1,16.7,86.6,8.1,0,1,1.4,2.8,21.7,21639,73.6,20.7,5.6,0.1,6,51073
"1536","Arizona",2055464,2100037,30.6,56.3,5.1,1.5,3.9,0.2,2778337,58580,350,30186,163,15.7,22.5,37.4,18.1,26.7,8.4,9.5,76.4,10.9,2.2,1.5,2.5,6.4,25.8,1929015,82.8,11.1,5.9,0.1,6,4155501
"1537","Georgia",357252,381820,12.8,53.1,26.3,0.1,5.1,0,497695,72004,1128,36587,443,10.9,14.7,45.7,14.8,23.9,7.3,8.3,79.6,8.5,1.1,1.2,2,7.6,31.4,382187,83.4,10.1,6.4,0.1,6,739072
"1538","Arkansas",18054,19043,6.1,89.2,1.9,0.3,0.7,0,27667,39945,2414,23056,1390,18.5,27.8,29.6,17.1,19.8,13.9,19.6,81.4,12.5,0.2,1.3,1.4,3.2,18.9,15305,78,15.6,6.4,0.1,6,37097
"1539","Georgia",3651,4117,1.5,65.4,32.2,0.1,0.2,0,6225,37711,6081,24529,2859,23,38,20.5,19.3,22.3,18.5,19.4,85.9,8,0.2,0.6,1.8,3.5,33.3,3215,74.9,18.3,6.7,0.1,6,7768
"1540","Rhode Island",61154,65036,3,91.3,1.3,0.8,1.9,0.1,102045,77862,2350,39568,969,9.6,10.1,44.8,18.4,21.4,7.7,7.8,83.2,7,1.1,2.7,0.9,4.9,25.9,64576,75.7,17.3,6.9,0.1,6,126190
"1541","California",799649,829966,22.5,32.2,10.7,0.3,28.7,0.8,1056116,85743,940,41363,335,11.3,13,48,16,20.4,6.4,9.2,62,10.1,14.6,3.7,3.6,6,32.5,826310,79.3,13.2,7.3,0.1,6,1629615
"1542","Texas",23703,23502,39.2,57.7,1.3,0.2,0.3,0.1,34562,71942,4350,29862,1049,10.2,12.8,31.8,16.4,25.2,14.2,12.4,80.7,10.8,0,1.1,1,6.4,34.5,21002,73.3,18,8.6,0.1,6,47205
"1543","Kentucky",48300,50958,2.9,88.9,4.4,0.2,1.3,0,73475,48371,1723,26501,840,15.8,22.3,29.9,18,23.8,9,19.3,86.8,7.9,0.5,2.1,1.1,1.5,19.2,44736,83.4,11.7,4.7,0.2,6,99258
"1544","Illinois",27990,28833,11.8,84.9,1.6,0.1,0.5,0.1,43198,51969,1904,28188,898,11.1,15.4,26.3,19,23.4,8.5,22.7,84,9.6,0.4,1.8,1.5,2.8,19.4,26553,81.9,13.2,4.7,0.2,6,56823
"1545","New Jersey",305192,322359,10.6,75.4,6.7,0.1,5.4,0,457219,91807,1342,46736,562,7.6,9.9,44.6,15.5,24.8,7.6,7.5,75.8,7.1,7.9,2,2,5.2,33.6,314470,80.8,13.8,5.3,0.2,6,627551
"1546","Georgia",50888,51735,8.2,78.2,10.5,0.2,0.9,0,73506,52393,2222,24931,977,14.2,19.1,29.9,16.6,22.8,12.1,18.6,81.9,9.7,0.8,0.7,1.6,5.3,27.9,46890,81.4,13,5.4,0.2,6,102623
"1547","North Carolina",75078,82766,12.3,65,18.9,0.3,1.5,0,113344,44281,1192,25157,738,17.6,26.1,33,17.4,23,10.3,16.2,85.1,9.3,0.2,1.3,1.1,2.9,23.6,73906,81,13.2,5.6,0.2,6,157844
"1548","Massachusetts",373886,401974,19.6,72,3.1,0.1,3.4,0,555798,73533,773,38604,455,10.9,15.4,41.2,18.7,22.5,7,10.6,74.2,8.5,5.9,3.3,2.4,5.7,29.8,397621,82,11.7,6.1,0.2,6,775860
"1549","Arkansas",50774,53472,4.9,77.3,13.4,0.2,1.1,0.1,75467,45672,1662,25594,1217,18.3,25.1,34.3,17.1,22.4,9.6,16.5,82.2,11.3,0.2,2.3,0.7,3.3,18.5,48216,80.1,13.4,6.2,0.2,6,104246
"1550","Missouri",18844,20014,2.2,83.6,11.4,0.5,0.4,0,29350,41628,1816,22939,1293,20.1,30.7,27.3,18.9,23.5,11.1,19.1,81.9,11.9,0.2,1.5,0.8,3.6,20,17102,81.4,11.7,6.7,0.2,6,38858
"1551","Virginia",19445,19546,4.2,87.6,3.6,0.2,1.2,0,29780,65353,3936,30009,1079,9.8,14,34.1,16.8,21.4,15.9,11.7,74.7,16.3,0.2,1.6,1,6.2,40.7,18753,75.6,17.3,6.9,0.2,6,38991
"1552","Pennsylvania",42498,44349,1.2,95.1,1.9,0.1,0.4,0,67896,47179,1277,24716,570,14.5,20,29.8,18.3,20.3,10.4,21.2,77.1,10.9,0.4,6.1,1.4,4.2,22,38270,80.9,10.9,8,0.2,6,86847
"1553","Texas",31766,31481,18.8,77.5,1.2,0.4,0.5,0.2,44333,59081,2722,27447,1009,13,20.4,29.6,15,24,14.3,17.1,82.2,10.1,0.1,1,0.9,5.7,32.1,27736,78,13.7,8,0.2,6,63247
"1554","California",221016,212152,57.9,30.6,2.5,0.2,5.6,0.5,231733,63249,1209,27168,479,14.7,21.6,28.5,20.1,20.2,20.4,10.9,71.1,10.7,1.7,3.1,8.8,4.6,22.4,182439,76.6,15,8.2,0.2,6,433168
